"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00020404","ARIZONA CITY, AZ US","2013-07","1981","785","4","3","0","0","0","0","0","31","31","72","0","0.0","0.57","111","0","0","1.00","0.0","90.3","103.6","77.0"
"USC00020404","ARIZONA CITY, AZ US","2013-08","2708","727","5","4","0","0","0","0","0","31","30","67","0","0.0","0.30","110","0","0","0.70","0.0","88.5","102.5","74.5"
"USC00020404","ARIZONA CITY, AZ US","2013-09","3219","511","2","2","0","0","0","0","0","30","24","48","0","0.0","0.63","109","0","0","1.04","0.0","82.0","97.0","67.1"
"USC00020404","ARIZONA CITY, AZ US","2013-10","3299","79","1","1","0","0","0","0","0","29","6","35","0","0.0","0.10","93","52","52","0.10","0.0","65.9","84.0","47.8"
"USC00020404","ARIZONA CITY, AZ US","2013-11","3306","7","3","3","0","0","0","0","0","21","0","34","0","0.0","0.90","89","231","179","1.32","0.0","59.1","74.2","43.9"
"USC00020404","ARIZONA CITY, AZ US","2013-12","3306","0","1","1","0","0","0","19","0","4","0","25","0","0.0","0.36","74","753","522","0.36","0.0","48.2","63.5","32.8"
"USC00020404","ARIZONA CITY, AZ US","2014-01","0","0","0","0","0","0","0","18","0","14","0","27","0","0.0","0.00","80","1183","430","0.00","0.0","51.1","69.0","33.3"
"USC00020404","ARIZONA CITY, AZ US","2014-02","0","0","0","0","0","0","0","2","0","20","0","32","0","0.0","0.00","86","1405","222","0.00","0.0","57.1","74.5","39.7"
"USC00020404","ARIZONA CITY, AZ US","2014-03","5","5","1","1","0","0","0","0","0","29","0","39","0","0.0","1.08","86","1518","113","1.08","0.0","61.5","78.2","44.9"
"USC00020404","ARIZONA CITY, AZ US","2014-04","117","112","0","0","0","0","0","0","0","28","9","40","0","0.0","0.00","97","1569","51","0.00","0.0","67.0","84.9","49.1"
"USC00020404","ARIZONA CITY, AZ US","2014-05","441","324","0","0","0","0","0","0","0","31","20","48","0","0.0","0.00","105","1571","2","0.00","0.0","75.4","92.9","57.9"
"USC00020404","ARIZONA CITY, AZ US","2014-06","1110","669","0","0","0","0","0","0","0","30","30","63","0","0.0","0.00","109","1571","0","0.00","0.0","87.3","105.5","69.1"
"USC00020404","ARIZONA CITY, AZ US","2014-07","1881","771","6","4","0","0","0","0","0","31","31","66","0","0.0","1.92","112","0","0","2.74","0.0","89.9","103.8","75.9"
"USC00020404","ARIZONA CITY, AZ US","2014-08","2519","638","5","2","0","0","0","0","0","31","30","65","0","0.0","0.32","109","0","0","0.53","0.0","85.6","99.4","71.8"
"USC00020404","ARIZONA CITY, AZ US","2014-09","3030","510","7","5","0","0","0","0","0","30","22","56","0","0.0","1.50","107","0","0","3.52","0.0","82.0","94.5","69.5"
"USC00020404","ARIZONA CITY, AZ US","2014-10","3241","212","2","2","0","0","0","0","0","31","8","50","0","0.0","1.63","95","0","0","1.83","0.0","71.8","86.6","57.0"
"USC00020404","ARIZONA CITY, AZ US","2014-11","3255","13","0","0","0","0","0","8","0","23","0","27","0","0.0","0.00","89","221","221","0.00","0.0","58.1","75.3","40.8"
"USC00020404","ARIZONA CITY, AZ US","2014-12","3255","0","7","5","0","0","0","8","0","8","0","25","0","0.0","0.44","78","662","441","1.33","0.0","50.8","64.0","37.6"
"USC00020404","ARIZONA CITY, AZ US","2015-01","0","0","4","4","0","0","0","8","0","8","0","25","0","0.0","0.71","75","1118","456","1.66","0.0","50.3","63.9","36.7"
